Code,Name (日本語),Detail (日本語),Name (English),Detail (English),Name (Français),Detail (Français),Name (Korean),Detail (Korean),Name (Deutsch),Detail (Deutsch),Name (Italiano),Detail (Italiano)
119,北海道奥尻島,奥尻郡,Okushiri island,Okushiri district,île Okushiri,district d'Okushiri,홋카이도 오쿠 시리 섬 ,,Insel Okushiri,Kreis Okushiri,isola Okushiri,distretto d'Okushiri
120,空知地方北部,深川市及び雨竜郡（上川地方北部及び空知地方中部の区域を除く。）,Northern Sorachi area,Fukagawa city and Uryu district (except northern Kamikawa area and central Sorachi area),zone Sorachi Nord,ville de Fukagawa et district d'Uryu (exceptées les régions Kamikawa nord et Sorachi centre),소라치 북부 지방 ,,Nordteil der Provinz Sorachi,"Stadt Fukagawa, und Kreis Uryu (Außer der Nordteil der Zone Kamikawa, und Mitte der Zone Sorachi)",area di Sorachi Nord,città di Fukagawa e distretto d'Uryu (eccetto le regioni Kamikawa nord e Sorachi Centro)
121,空知地方中部,芦別市、赤平市、滝川市、砂川市、歌志内市、空知郡（奈井江町及び上砂川町に限る。）、樺戸郡（月形町を除く。）及び雨竜郡雨竜町,Central Sorachi area,"Ashibetsu city, Akabira city, Takikawa city, Sunagawa city, Utashinai city, Sorachi district (limited to Naie and Kamisunagawa), Kabato district (except Tsukigata), and Uryu in Uryu district",zone Sorachi Centre,"villes d'Ashibetsu, Akabira, Takikawa, Sunagawa et Utashinai, districts de Sorachi (restreint à Naie et Kamisunagawa) et de Kabato (excepté Tsukigata), village d'Uryu dans le district d'Uryu",소라치 지역 중부 ,,Zentral der Provinz Sorachi,"Stadt Monbetsu, Akahira, Takigawa, Sunagawa, Utashinai, und Kreis Sorachi (Nur Stadt Naie, und Kamisunagawa), Kreis Kabato(Außer Stadt Tsukigata), und Stadt Uryu in Kreis Uryu.",area di Sorachi Centro,"città d'Ashibesu, Akabira, Takikawa, Sunagawa e Utashinai, distretti di Sorachi (limitato a Naie e Kamisunagawa) e di Kabato (eccetto Tsukigata), villaggio d'Uryu dentro il distretto d'Uryu"
122,空知地方南部,夕張市、岩見沢市、美唄市、三笠市、空知郡南幌町、夕張郡及び樺戸郡月形町,Southern Sorachi area,"Yubari city, Iwamizawa city, Bibai city, Mikasa city, Nanporo in Sorachi district, Yubari distict, and Tsukigata in Kabato district",zone Sorachi Sud,"villes de Yubari, Iwamizawa, Bibai et Mikasa, village de Nanporo dans le district de Sorachi, district de Yubari, village de Tsukigata dans le district de Kabato",소라치 지방 남부 ,,Südteil der Provinz Sorachi,"Stadt Yubari, Iwamizawa, Bibai, Mikasa, und Stadt Namporo in Kreis Sorachi, Kreis Yubari, und Stadt Tsukigata in Kreis Kabato",area di Sorachi Sud,"città di Yubari, Iwamizawa, Bibai e Mikasa, villaggio di Nanporo dentro il distretto di Sorachi, distretto di Yubari, villaggio di Tsukigata dentro il distretto di Kabato"
125,上川地方北部,士別市、名寄市、雨竜郡幌加内町、上川郡（和寒町、剣淵町及び下川町に限る。）及び中川郡（美深町、音威子府村及び中川町に限る。）,Northern Kamikawa area,"Shibetsu city, Nayoro city, Horokanai in Uryu district, Kamikawa district (limited to Wassamu, Kenbuchi, and Shimokawa), and Nakagawa distict (limited to Bibuka, Otoineppu, Nakagawa)",zone Kamikawa Nord,"villes de Shibetsu et Nayoro, village de Horokanai dans le district d'Uryu, districts de Kamikawa (restreint à Wassamu, Kenbuchi et Shimokawa) et de Nakagawa (restreint à Bibuka, Otoineppu et Nakagawa)",가미 카와 북부 지방 ,,Nordteil der Provinz Kamikawa,,area di Kamikawa Nord,"città di Shibesu e Nayoro, villaggio di Horokanai dentro il distretto d'Uryu, distretti di Kamikawa (limitato a Wassamu, Kenbuchi e Shimokawa) e di Nakagawa (limitato a Bibuka, Otoineppu e Nakagawa)"
126,上川地方中部,旭川市及び上川郡（上川地方北部、十勝地方北部及び十勝地方中部の区域を除く。）,CentralKamikawa area,"Asahikawa city and Kamikawa district (except northern Kamikawa area, northern Tokachi area, and central Tokachi area)",zone Kamikawa Centre,"ville d'Asahikawa et district de Kamikawa (exceptées les régions Kamikawa, Tokachi Nord et Tokachi Centre)",가미 카와 지역 중부 ,,Mitte der Provinz Kamikawa,,area di Kamikawa Centro,"città d'Asahikawa e distretto di Kamikawa (eccetto le regioni Kamikawa, Tokachi Nord e Tokachi Centro)"
127,上川地方南部,富良野市、空知郡（空知地方中部及び空知地方南部の区域を除く。）及び勇払郡占冠村,Southern Kamikawa area,"Furano city, Sorachi district (except central Tokachi area and Southern Tokachi area), and Shimukappu in Yufutu district",zone Kamikawa Sud,"ville de Furano, district de Sorachi (exceptées les régions Tokachi Centre et Tokachi Sud) et Shimukappu dans le district de Yufutsu",가미 카와 지역 남부 ,,Südteil der Provinz Kamikawa,,area di Kamikawa Sud,"città di Furano, distretto di Sorachi (eccetto le regioni Tokachi Centro e Tokachi Sud) e Shimukappu dentro il distretto di Yufutsu"
130,留萌地方中北部,苫前郡及び天塩郡（宗谷地方北部の区域を除く。）,Middle northern Rumoi area,Tomamae district and Teshio district (except northern Souya area),zone Rumoi Centre Nord,districts de Tomamae et Teshio (exceptée la région Sôya Nord),루모이 지역 중북부 ,,Nordzentral der Provinz Rumoi,,area di Rumoi Centro Nord,distretti di Tomamae e Teshio (eccetto la région Sôya Nord)
131,留萌地方南部,留萌市、増毛郡及び留萌郡,Southern Rumoi area,"Rumoi city, Mashike distict, and Rumoi district",zone Rumoi Sud,"ville de Rumoi, districts de Mashike et Rumoi",루모이 지방 남부 ,,Südteil der Provinz Rumoi,,area di Rumoi Sud,"città di Rumoi, distretti di Mashike e Rumoi"
135,宗谷地方北部,稚内市、宗谷郡及び天塩郡（幌延町及び豊富町に限る。）,Northern Souya area,"Wakkanai city, Souya district and Teshio district (limited to Horonobe and Toyotomi)",zone Sôya Nord,"ville de Wakkanai, districts de Sôya et Teshio (restreint à Horonobe et Toyotomi)",소야 북부 지방 ,,Nordteil der Provinz Soya,,area di Sôya Nord,"città di Wakkanai, distretti di Sôya e Teshio (limitato a Horonobe e Toyotomi)"
136,宗谷地方南部,枝幸郡,,Esashi district,zone Sôya Sud,district d'Esashi,소야 지방 남부 ,,Südteil der Provinz Soya,,area di Sôya Sud,distretto d'Esashi
139,北海道利尻礼文,礼文郡及び利尻郡,Rishiri and Rebun island,Rebun district and Rishiri district,îles Rishiri et Rebun,districts de Rebun et Rishiri,홋카이도 이시리섬 레분도 ,,,,isole Rishiri e Rebun,distretti di Rebun e Rishiri
140,網走地方,網走市、網走郡及び斜里郡,Abashiri area of Abashiri area,"Abashiri city, Abashiri district, and Shari district",zone Abashiri,ville d'Abashiri et districts d'Abashiri et Shari,아바시리 지역 ,,Provinz Abashiri,,area di Abashiri,città d'Abashiri e distretti d'Abashiri e Shari
141,北見地方,北見市及び常呂郡,Kitami area of Abashiri area,Kitami city and Tokoro district,"zone Abashiri, Kitami",ville de Kitami et district de Tokoro,키타 지역 ,,Provinz Abashiri，Kitami,,"area di Abashiri, Kitami",città di Kitami e distretto di Tokoro
142,紋別地方,紋別市及び紋別郡,Monbetsu area of Abashiri area,Monbetsu city and Monbetsu district,"zone Abashiri, Monbetsu",ville et district de Monbetsu,몬베쓰 지역 ,,"Provinz Abashiri,Monbetsu",,"area di Abashiri, Monbesu",città e distretto di Monbesu
145,胆振地方西部,伊達市、虻田郡（豊浦町及び洞爺湖町に限る。）及び有珠郡,Western Iburi area,"Date city, Abuta district (limited to Toyoura and Touyako), and Usu district",zone Iburi Ouest,"ville de Date, districts d'Abuta (restreint à Toyoüra et Tôyako) et d'Usu",이부리 지방 서부,,Westteil der Provinz Iburi,,area di Iburi Ovest,"città di Date, distretti d'Abuta (limitato a Toyoüra e Tôyako) e d'Usu"
146,胆振地方中東部,室蘭市、苫小牧市、登別市、白老郡及び勇払郡（占冠村を除く。）,Mid-Eastern Iburi area,"Muroran city, Tomakomai city, Noboribetsu city, Shiraoi district, and Yufutsu district (except Shimukappu)",zone Iburi Centre Est,"villes de Muroran, Tomakomai et Noboribetsu, districts de Shiraoi et Yufutsu (excepté Shimukappu)",이부리 지역 중동 부 ,,Ostzentral der Provinz Iburi,,area di Iburi Centro Est,"città di Muroran, Tomakomai e Noboribesu, distretti di Shiraoi e Yufutsu (eccetto Shimukappu)"
150,日高地方西部,沙流郡,Western Hidaka area,Saru district,zone Hidaka Ouest,district de Saru,히다카 지방 서부 ,,Westteil der Provinz Hidaka,,area di Hidaka Ovest,distretto di Saru
151,日高地方中部,新冠郡及び日高郡,Central Hidaka area,Niikappu district and Hidaka district,zone Hidaka Centre,districts de Niikappu et Hidaka,히다카 지역 중부 ,,Zentral der Provinz Hidaka,,area di Hidaka Centro,distretti di Niikappu e Hidaka
152,日高地方東部,浦河郡、様似郡及び幌泉郡,Eastern Hidaka area,"Urakawa district, Samani district, and Horoizumi district",zone Hidaka Est,"districts de Urakawa, Samani et Horoizumi",히다카 지역 동부 ,,Ostteil der Provinz Hidaka,,area di Hidaka Est,"distretti di Urakawa, Samani e Horoizumi"
155,十勝地方北部,河東郡（上士幌町及び鹿追町に限る。）、上川郡新得町及び足寄郡,Northern Tokachi area,"Kato district (limited to Kamishihoro and Shikaoi), Shintoku in Kamikawa distict, and Ashoro district",zone Tokachi Nord,"district de Kato (restreint à Kamishihoro et Shikaoi), village de Shintoku dans le district de Kamikawa et district d'Ashoro",토카치 지역 북부 ,,Nordteil der Provinz Tokachi,,area di Tokachi Nord,"distretto di Kato (limitato a Kamishihoro e Shikaoi), villaggio di Shintoku dentro il distretto di Kamikawa e distretto d'Ashoro"
156,十勝地方中部,帯広市、河東郡（十勝地方北部の区域を除く。）、上川郡清水町、河西郡芽室町、中川郡（上川地方北部の区域を除く。）及び十勝郡,Central Tokachi area,"Obihiro city, Kato district (except northern Tokachi area), Shimizu in Kamikawa district, Memuro in Kasai district, Nakagawa district (except northern Kamikawa area), and Tokachi district",zone Tokachi Centre,"ville d'Obihiro, district de Kato (exceptée la région Tokachi Nord), villages de Shimizu dans le district de Kamikawa et Memuro dans le district de Kasai, district de Nakagawa (exceptée la région Kamikawa Nord) et district de Tokachi",토카치 지방 중부 ,,Zentral der Provinz Tokachi,,area di Tokachi Centro,"città d'Obihiro, distretto di Kato (eccetto la région Tokachi Nord), villaggi di Shimizu dentro il distretto di Kamikawa e Memuro dentro il distretto di Kasai, distretto di Nakagawa (eccetto la région Kamikawa Nord) e distretto di Tokachi"
157,十勝地方南部,河西郡（芽室町を除く。）及び広尾郡,Southern Tokachi area,Kasai district (except Memuro) and Hiroo district,zone Tokachi Sud,districts de Kasai (excepté Memuro) et Hiroo,토카치 지방 남부 ,,Südteil der Provinz Tokachi,,area di Tokachi Sud,distretti di Kasai (eccetto Memuro) e Hiroo
160,釧路地方北部,川上郡弟子屈町,Northern Kushiro area,Teshikaga in Kawakami district,zone Kushiro Nord,village de Teshikaga dans le district de Kawakami,쿠시 북부 지방 ,,Nordteil der Provinz Kushiro,,area di Kushiro Nord,villaggio di Teshikaga dentro il distretto di Kawakami
161,釧路地方中南部,釧路市、釧路郡、厚岸郡、川上郡標茶町、阿寒郡及び白糠郡,Mid-Southern Kushiro area,"Kushiro city, Kushiro district, Akkeshi district, Shibecha in Kawakami district, Akan district, and Shiranuka district",zone Kushiro Centre Sud,"ville de Kushiro et districts de Kushiro, Akkeshi, Akan et Shiranuka et village de Shibecha dans le district de Kawakami",쿠시로 지방 중남부 ,,Südzentral der Provinz Kushiro,,area di Kushiro Centro Sud,"città di Kushiro e distretti di Kushiro, Akkeshi, Akan e Shiranuka e villaggio di Shibecha dentro il distretto di Kawakami"
165,根室地方北部,標津郡及び目梨郡,Northern Nemuro area,Shibetu district and Menashi district,zone Nemuro Nord,districts de Shibetsu et Menashi,네무로 북부 지방 ,,Nordteil der Provinz Nemuro,,area di Nemuro Nord,distretti di Shibesu e Menashi
166,根室地方中部,野付郡,Central Nemuro area,Notsuke district,zone Nemuro Centre,district de Notsuke,네무로 지역 중부 ,,Zentral der Provinz Nemuro,,area di Nemuro Centro,distretto di Notsuke
167,根室地方南部,根室市,Southern Nemuro area,Nemuro city,zone Nemuro Sud,ville de Nemuro,네무로 지역 남부 ,,Südteil der Provinz Nemuro,,area di Nemuro Sud,città di Nemuro
180,北海道南西沖,,SW off Hokkaido pref.,,SO large d'Hokkaido,,홋카이도 남서 해안 ,,SW von der Küste Hokkaido,,SO a largo di Hokkaido,
181,北海道西方沖,,W off Hokkaido pref.,,O large d'Hokkaido,,홋카이도 서쪽 해안 ,,W von der Küste Hokkaido,,O a largo di Hokkaido,
182,石狩湾,,Ishikari bay,,baie d'Ishikari,,이시카 리만 ,,Ishikari-Bucht,,baia d'Ishikari,
183,北海道北西沖,,NW off Hokkaido pref.,,NO large d'Hokkaido,,홋카이도 북서부 해안 ,,NW von der Küste Hokkaidō,,NO a largo di Hokkaido,
184,宗谷海峡,,Souya strait region,,détroit de Sôya,,宗谷海峡 ,,Sōya-Straße,,stretto di Sôya,
186,国後島付近,,Kunashiritou area,,vers Kunashiritô,,쿠나시리토 부근 ,,Nähe Kunashiritō,,area di Kunashiritô,
187,択捉島付近,,Etrofutou area,,vers Etrofutô,,択捉島 부근 ,,Nähe Etorofutō,,area di erofutô,
188,北海道東方沖,,E off Hokkaido pref.,,E large d'Hokkaido,,홋카이도 동쪽 바다 ,,O von der Küste Hokkaido,,E a largo di Hokkaido,
189,根室半島南東沖,,SE off Nemuro peninsula,,SE large de Nemuro,,네무로 반도 남쪽 바다 ,,SO von der Halbinsel Nemuro,,SE a largo di Nemuro,
190,釧路沖,,Off Kushiro,,large de Kushiro,,쿠시로 떨어져 ,,von der Küste Kushiro,,a largo di Kushiro,
191,十勝沖,,Off Tokachi,,large de Tokachi,,토카치 바다 ,,von der Küste Tokachi,,a largo di Tokachi,
192,浦河沖,,Off Urakawa,,large d'Urakawa,,우라카와 바다 ,,von der Küste Urakawa,,a largo di Urakawa,
193,苫小牧沖,,Off Tomakomai,,large de Tomakomai,,토마 코마이 떨어져 ,,von der Küste Tomakomai,,a largo di Tomakomai,
194,内浦湾,,Uchiura bay,,baie d'Uchiura,,우치 우라 ,,Uchiura-Bucht,,baia d'Uchiura,
195,宗谷東方沖,,E off Souya,,E large de Sôya,,소야 동방 바다 ,,O von der Küste Sōya,,E a largo di Sôya,
196,網走沖,,Off Abashiri,,large d'Abashiri,,아바시리 앞바 다 ,,von der Küste Abashiri,,a largo di Abashiri,
197,択捉島南東沖,,SE off etrofu island,,SE large de l'île Etrofu,,択捉島 남쪽 바다 ,,,,SE a largo dell'isola erofu,
200,青森県津軽北部,青森市、五所川原市、つがる市、東津軽郡及び北津軽郡,Northern Tsugaru area Aomori pref.,"Aomori city, Gokashogawara city, Tsugaru city, Higashitsugaru district, and Kitatsugaru district","préf. Aomori, Tsugaru Nord","villes d'Aomori, Gokashogawara et Tsugaru, districts de Higashitsugaru et Kitatsugaru",아오모리현 쓰가루 북부 ,,,,"pref. Aomori, Tsugaru Nord","città d'Aomori, Gokashogawara e Tsugaru, distretti di Higashitsugaru e Kitatsugaru"
201,青森県津軽南部,弘前市、黒石市、平川市、西津軽郡、中津軽郡及び南津軽郡,Southern Tsugaru area Aomori pref.,"Hirosaki city, Kuroishi city, Hirakawa city, Nishitsugaru district, Nakatsugaru district, and Minamitsugaru district","préf. Aomori, Tsugaru Sud","villes de Hirosaki, Kuroishi et Hirakawa, districts de Nishitsugaru, Nakatsugaru et Minamitsugaru",아오모리현 쓰가루 남부 ,,,,"pref. Aomori, Tsugaru Sud","città di Hirosaki, Kuroishi e Hirakawa, distretti di Nishitsugaru, Nakatsugaru e Minamitsugaru"
202,青森県三八上北,八戸市、十和田市、三沢市、上北郡及び三戸郡,Sanpachi-kamikita Aomori pref.,"Hachinohe city, Towada city, Misawa city, Kamikita district, and Sannohe district","préf. Aomori, Sanpachi-kamikita","villes de Hachinoe, Towada et Misawa, districts de Kamikita et Sannohe",아오모리현 산파치 카미키타,,,,"pref. Aomori, Sanpachi-kamikita","città di Hachinoe, Towada e Misawa, distretti di Kamikita e Sannohe"
203,青森県下北,むつ市及び下北郡,Shimokita Aomori pref.,Mutsu city and Shimokita district,"préf. Aomori, Shimokita",ville de Mutsu et district de Shimokita,아오모리현 시모 키타 ,,,,"pref. Aomori, Shimokita",città di Mutsu e distretto di Shimokita
210,岩手県沿岸北部,宮古市、久慈市、下閉伊郡及び九戸郡（岩手県内陸北部の区域を除く。）,Northern coast Iwate pref.,"Miyako city, Kuji city, Shimohei district, and Kunohe district (except northern inland Iwate prefecture)","préf. Iwate, côte Nord","villes de Miyako et Kuji, districts de Shimohei et Kunohe (exceptée la partie Nord de la préfecture d'Iwate)",이와테현 연안 북부 ,,,,"pref. Iwate, costa Nord","città di Miyako e Kuji, distretti di Shimohei e Kunohe (eccetto la parte Nord della prefettura d'Iwate)"
211,岩手県沿岸南部,大船渡市、陸前高田市、釜石市、気仙郡及び上閉伊郡,Souterhn coast Iwate pref.,"Ofunato city, Rikuzentakata city, Kamaishi city, Kesen district, and Kamihei district","préf. Iwate, côte Sud","villes de Ofunato, Rikuzentakata et Kamaishi, districts de Kesen et Kamihei",이와테현 연안 남부 ,,,,"pref. Iwate, costa Sud","città di Ofunato, Rikuzentakata e Kamaishi, distretti di Kesen e Kamihei"
212,岩手県内陸北部,盛岡市、二戸市、八幡平市、岩手郡、紫波郡、九戸郡（軽米町及び九戸村に限る。）及び二戸郡,Northern inland Iwata pref.,"Morioka city, Ninohe city, Hachimantai city, Iwate district, Shiwa district, Kunohe district (limited to Karumai and Kunohe), and Ninohe district","préf. Iwate, Nord","villes de Morioka, Ninohe et Hachimantai, districts d'Iwate, Shiwa, Kunohe (restreint à Karumai et Kunohe) et Ninohe",이와테현 내륙 북부 ,,,,"pref. Iwate, Nord","città di Morioka, Ninohe e Hachimantai, distretti d'Iwate, Shiwa, Kunohe (limitato a Karumai e Kunohe) e Ninohe"
213,岩手県内陸南部,花巻市、北上市、遠野市、一関市、奥州市、和賀郡、胆沢郡、西磐井郡及び東磐井郡,Southern inland Iwate pref.,"Hanamaki city, Kitakami city, Tono city, Ichinoseki city, Oshu city, and Waga district, Tanzawa district, Nishiiwai district, and Higashiiwai district","préf. Iwate, Sud","villes de Hanamaki, Kitakami, Tono, Ichinoseki et Oshu, districts de Waga, Tanzawa, Nishiiwai et Higashiiwai",이와테현 내륙 남부 ,,,,"pref. Iwate, Sud","città di Hanamaki, Kitakami, Tono, Ichinoseki e Oshu, distretti di Waga, Tanzawa, Nishiiwai e Higashiiwai"
220,宮城県北部,気仙沼市、登米市、栗原市、大崎市、加美郡、遠田郡及び本吉郡,Northern Miyagi pref.,"Kesennuma city, Tome city, Kurihara city, Osaki city, Kami district, Toda district, and Motoyoshi district","préf. Miyagi, Nord","villes de Kesennuma, Tome, Kurihara et Osaki, districts de Kami, Toda et Motoyoshi",미야기현 북부 ,,,,"pref. Miyagi, Nord","città di Kesennuma, Tome, Kurihara e Osaki, distretti di Kami, Toda e Motoyoshi"
221,宮城県南部,白石市、名取市、角田市、岩沼市、刈田郡、柴田郡、伊具郡及び亘理郡,Southern Miyagi pref.,"Shiroishi city, Natori city, Kakuda city, Iwanuma city, Katta district, Shibata district, Igu district, and Watari district","préf. Miyagi, Sud","villes de Shiroishi, Natori, Kakuda et Iwanuma, districts de Katta, Shibata, Igu et Watari",미야기현 남부 ,,,,"pref. Miyagi, Sud","città di Shiroishi, Natori, Kakuda e Iwanuma, distretti di Katta, Shibata, Igu e Watari"
222,宮城県中部,仙台市、石巻市、塩竈市、多賀城市、東松島市、宮城郡、黒川郡及び牡鹿郡,Central Miyagi pref.,"Sendai city, Ishinomaki city, Shiogama city, Tagajo city, Higashimatsushima city Miyagi district, Kurokawa district, and Oshika district","préf. Miyagi, Centre","villes de Sendai, Ishinomaki, Shiogama, Tagajo et Higashimatsushima, districts de Kurokawa et Oshika",미야기현 중부 ,,,,"pref. Miyagi, Centro","città di Sendai, Ishinomaki, Shiogama, Tagajo e Higashimatsushima, distretti di Kurokawa e Oshika"
230,秋田県沿岸北部,能代市、男鹿市、潟上市、山本郡及び南秋田郡,Northern coast Akita pref.,"Noshiro city, Oga city, Katagami city, Yamamoto district, and Minamiakita district","préf. Akita, côte Nord","villes de Noshiro, Oga et Katagami, districts de Yamamoto et Minamiakita",아키타현 연안 북부 ,,,,"pref. Akita, costa Nord","città di Noshiro, Oga e Katagami, distretti di Yamamoto e Minamiakita"
231,秋田県沿岸南部,秋田市、由利本荘市及びにかほ市,Southern coast Akita pref.,"Akita city, Yurihonjo city, and Nikaho city","préf. Akita, côte Sud","villes de Akita, Yurihonjo et Nikaho",아키타현 연안 남부 ,,,,"pref. Akita, costa Sud","città di Akita, Yurihonjo e Nikaho"
232,秋田県内陸北部,大館市、鹿角市、北秋田市、鹿角郡及び北秋田郡,Northern inland Akita pref.,"Odate city, Kazuno city, Kitaakita city, Kazuno district, and Kitaakita district","préf. Akita, Nord","villes de Odate, Kazuno et Kitaakita, districts de Kazuno et Kitaakita",아키타현 내륙 북부 ,,,,"pref. Akita, Nord","città di Odate, Kazuno e Kitaakita, distretti di Kazuno e Kitaakita"
233,秋田県内陸南部,横手市、湯沢市、大仙市、仙北市、仙北郡及び雄勝郡,Southern inland Akita pref.,"Yokote city, Yuzawa city, Daisen city, Senboku city, Senboku district, and Ogachi district","préf. Akita, Sud","villes de Yokote, Yuzawa, Daisen et Senboku, districts de Senboku et Ogachi",아키타현 지중해 남부 ,,,,"pref. Akita, Sud","città di Yokote, Yuzawa, Daisen e Senboku, distretti di Senboku e Ogachi"
240,山形県庄内,鶴岡市、酒田市、東田川郡及び飽海郡,Shonai Yamagata pref.,"Tsuruoka city, Sakata city, Higashitagawa district, and Akumi district","préf. Yamagata, Shonai","villes de Tsuruoka et Sakata, districts de Higashitagawa et Akumi",야마가타 현 쇼나이 ,,,,"pref. Yamagata, Shonai","città di Tsuruoka e Sakata, distretti di Higashitagawa e Akumi"
241,山形県最上,新庄市及び最上郡,Mogami Yamagata pref.,Shinjo city and Mogami district,"préf. Yamagata, Mogami",ville de Shinjo et district de Mogami,야마 가타현 최대 ,,,,"pref. Yamagata, Mogami",città di Shinjo e distretto di Mogami
